Id,Label
a1367,Alan Howard
a1369,Bernard Hill
a1370,Brad Dourif
a1371,David Wenham
a1372,Karl Urban
a1381,John Noble
a1382,Paul Norell
a1383,Thomas Robins
a1384,Grażyna Szapołowska
a1385,Maria Pakulnis
a1386,Jerzy Radziwiłowicz
a1387,Artur Barciś
a1391,Krzysztof Krzemiński
a1405,Zbigniew Zapasiewicz
a1408,Marzena Trybała
a1409,Adam Ferency
a1413,Tadeusz Łomnicki
a1414,Goro Miyazaki
a1417,Toshio Suzuki
a1418,Albert Maysles
a1420,Robert Drew
a1422,Roland Schneider
a1428,Mick Jagger
a1429,Charlie Watts
a1430,Keith Richards
a1431,Bill Wyman
a1432,Mick Taylor
a1433,Marty Balin
a1435,Sonny Barger
a1436,Melvin Belli
a1437,Dick Carter
a1438,Jack Casady
a1439,Mike Clarke
a1440,Sam Cutler
a1441,Spencer Dryden
a1442,Jerry Garcia
a1443,Chris Hillman
a1444,Meredith Hunter
a1445,Paul Kantner
a1446,Jorma Kaukonen
a1447,Pete Kleinow
a1448,Michael Lang
a1449,Bernie Leadon
a1451,Gram Parsons
a1452,Alan Passaro
a1454,Rock Scully
a1455,Michael Shrieve
a1456,Grace Slick
a1457,Frank Terry
a1458,Ike Turner
a1459,Tina Turner
a1460,Ian Stewart
a1461,George Clooney
a1462,Tim Blake Nelson
a1465,Chris Thomas King
a1466,Charles Durning
a1467,Del Pentecost
a1468,J.R. Horne
a1469,Brian Reddy
a1470,Wayne Duvall
a1471,Ed Gale
a1472,Ray McKinnon
a1473,Daniel von Bargen
a1474,Mia Tate
a1475,Musetta Vander
a1476,Christy Taylor
a1478,Millford Fortenberry
a1479,Frank Collison
a1480,Quinn Gasaway
a1481,Lee Weaver
a1483,T Bone Burnett
a1487,Bob Dylan
a1488,Albert Grossman
a1489,Bob Neuwirth
a1490,Joan Baez
a1491,Alan Price
a1492,Tito Burns
a1493,Donovan
a1494,Derroll Adams
a1496,Tod Browning
a1507,Leila Hyams
a1508,Olga Baclanova
a1509,Roscoe Ates
a1510,Henry Victor
a1511,Harry Earles
a1512,Daisy Earles
a1513,Rose Dione
a1514,Daisy Hilton
a1515,Violet Hilton
a1516,Schlitze
a1517,Josephine Joseph
a1518,Frances O'Connor
a1519,Koo Koo
a1521,Prince Randian
a1522,Johnny Eck
a1523,Peter Robinson
a1524,Harold Ramis
a1526,Danny Rubin
a1527,John Bailey
a1529,David Nichols
a1532,Bill Murray
a1533,Andie MacDowell
a1534,Chris Elliott
a1535,Brian Doyle-Murray
a1536,Marita Geraghty
a1537,Angela Paton
a1538,Rick Ducommun
a1539,Rick Overton
a1540,Robin Duke
a1542,Willie Garson
a1547,Bela Lugosi
a1548,Helen Chandler
a1549,Dwight Frye
a1550,Edward Van Sloan
a1551,Philip Glass
a1562,Iben Hjejle
a1563,Jesper Asholt
a1564,Sofie Gråbøl
a1565,Emil Tarding
a1566,Anders Hove
a1567,Mette Bratlann
a1568,Susanne Storm
a1569,Ellen Hillingsø
a1570,Anthony Dod Mantle
a1578,Holmes Osborne
a1579,Maggie Gyllenhaal
a1580,Daveigh Chase
a1581,Mary McDonnell
a1582,James Duval
a1583,Arthur Taxier
a1584,Mark Hoffman
a1585,Patience Cleveland
a1598,David St. James
a1599,Jazzie Mahannah
a1602,Fele Martínez
a1603,Daniel Giménez Cacho
a1604,Lluís Homar
a1605,Francisco Maestre
a1606,Francisco Boira
a1607,Juan Fernández
a1608,Nacho Pérez
a1609,Raúl García Forneiro
a1610,Javier Cámara
a1611,Alberto Ferreiro
a1614,Ang Lee
a1617,James Schamus
a1619,Chow Yun-fat
a1620,Michelle Yeoh
a1622,Chang Chen
a1623,Sihung Lung
a1624,Cheng Pei-Pei
a1625,Fa Zeng Li
a1626,Xian Gao
a1627,Yan Hai
a1628,De Ming Wang
a1629,Li Li
a1633,Peter Pau
a1639,Emily Watson
a1640,Stellan Skarsgård
a1641,Katrin Cartlidge
a1642,Jean-Marc Barr
a1643,Adrian Rawlins
a1644,Jonathan Hackett
a1645,Sandra Voe
a1646,Udo Kier
a1647,Mikkel Gaup
a1648,Roef Ragas
a1649,Robert Robertson
a1650,François Truffaut
a1651,Jean Constantin
a1653,Jean-Pierre Léaud
a1654,Claire Maurier
a1655,Albert Rémy
a1656,Guy Decomble
a1658,Georges Flamant
a1659,Patrick Auffay
a1660,Robert Beauvais
a1661,Yvonne Claudie
a1662,Pierre Repp
a1663,Marie-Josèphe Yoyotte
a1665,Eddie Marsan
a1666,Julie Christie
a1667,Danny Cunningham
a1668,Emmanuel Idowu
a1669,Dean Lennox Kelly
a1670,Daniel Mays
a1671,Sverre Anker Ousdal
a1672,Reg Wilson
a1678,Mitsuo Iwata
a1679,Nozomu Sasaki
a1680,Mami Koyama
a1681,Tesshou Genda
a1682,Hiroshi Ohtake
a1683,Kōichi Kitamura
a1684,Yuriko Fuchizaki
a1685,Masaaki Ōkura
a1686,Takeshi Kusao
a1687,Kazuhiro Kamifuji
a1688,Tatsuhiko Nakamura
a1689,Fukue Itô
a1693,Ryohei Suzuki
a1709,Jack Davenport
a1710,Lee Arenberg
a1711,Mackenzie Crook
a1712,Damian O'Hare
a1713,Giles New
a1714,Angus Barnett
a1715,David Bailie
a1716,Michael Berry Jr
a1717,Isaac C. Singleton Jr
a1723,Walter Hill
a1726,Steven E. de Souza
a1729,James Horner
a1733,Nick Nolte
a1734,Annette O'Toole
a1735,Frank McRae
a1736,James Remar
a1737,David Patrick Kelly
a1739,James Keane
a1740,Tara King
a1741,Greta Blackburn
a1742,Margot Rose
a1743,Denise Crosby
a1744,Robert Wise
a1745,Gene Roddenberry
a1748,William Shatner
a1749,Leonard Nimoy
a1750,DeForest Kelley
a1751,James Doohan
a1752,George Takei
a1753,Nichelle Nichols
a1754,Walter Koenig
a1755,Majel Barrett
a1756,Stephen Collins
a1757,Persis Khambatta
a1759,Grace Lee Whitney
a1765,Harold Michelson
a1767,Todd C. Ramsay
a1769,Sofia Coppola
a1770,Akiko Takeshita
a1771,Giovanni Ribisi
a1772,Anna Faris
a1773,Kazuyoshi Minamimagoe
a1774,Kazuko Shibata
a1775,Take
a1776,Francis Ford Coppola
a1785,Fumihiro Hayashi
a1786,Hiroko Kawasaki
a1787,Daikon
a1788,Nicholas Meyer
a1793,Ricardo Montalban
a1794,Bibi Besch
a1795,Merritt Butrick
a1796,Kirstie Alley
a1799,Michael Minor
a1810,Heath Ledger
a1811,Randy Quaid
a1812,Michelle Williams
a1813,Anne Hathaway
a1814,Larry Reese
a1815,Valerie Planche
a1816,Marty Antonini
a1817,Linda Cardellini
a1818,Paul Winfield
a1819,Robin Curtis
a1820,Mark Lenard
a1821,Michael Elphick
a1829,Carl Steven
a1830,Vadia Potenza
a1831,Stephen Manley
a1832,Joe W. Davis
a1833,Jamie Sives
a1834,Shirley Henderson
a1835,Lisa McKinlay
a1836,Julia Davis
a1837,Susan Vidler
a1838,Robert McIntosh
a1839,Lorraine McIntosh
a1840,Gordon Brown
a1841,Mhairi Morrison
a1842,Andrew Townsley
a1844,Til Schweiger
a1846,André Hennicke
a1848,Christoph Ott
a1852,Jan Josef Liefers
a1853,Thierry van Werveke
a1854,Huub Stapel
a1855,Leonard Lansink
a1856,Ralph Herforth
a1857,Cornelia Froboess
a1859,Christiane Paul
a1860,Hannes Jaenicke
a1861,Markus Knüfken
a1862,Willi Thomczyk
a1863,Tobias Schenke
a1864,Jenny Elvers
a1865,Hark Bohm
a1866,Muriel Baumeister
a1867,Auguste Lumière
a1869,Sönke Wortmann
a1874,Katja Riemann
a1875,Rufus Beck
a1876,Kai Wiesinger
a1877,Monty Arnold
a1878,Nico van der Knaap
a1879,Antonia Lang
a1880,Judith Reinartz
a1881,Christof Wackernagel
a1882,Martin Armknecht
a1884,Steven Soderbergh
a1885,George Clayton Johnson
a1886,Ted Griffin
a1888,Jerry Weintraub
a1892,Matt Damon
a1893,Casey Affleck
a1894,Scott Caan
a1895,Carl Reiner
a1896,Don Cheadle
a1897,Bernie Mac
